date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:39	1993/1993	---M--	200	added ('OK')	image/jpeg	etag:%227c9-567d013869980%22	https://preview.colorlib.com/theme/zeta/images/recent_3.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/recent_3.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:39	2410/2410	---M--	200	added ('OK')	image/jpeg	etag:%2296a-567d013869980%22	https://preview.colorlib.com/theme/zeta/images/recent_4.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/recent_4.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:40	2164/2164	---M--	200	added ('OK')	image/jpeg	etag:%22874-567d013499080%22	https://preview.colorlib.com/theme/zeta/images/popular_1.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/popular_1.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:40	2174/2174	---M--	200	added ('OK')	image/jpeg	etag:%2287e-567d01358d2c0%22	https://preview.colorlib.com/theme/zeta/images/popular_2.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/popular_2.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:41	3043/3043	---M--	200	added ('OK')	image/jpeg	etag:%22be3-567d01358d2c0%22	https://preview.colorlib.com/theme/zeta/images/popular_3.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/popular_3.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:41	129193/129193	---M--	200	added ('OK')	image/jpeg	etag:%221f8a9-567d011cc1840%22	https://preview.colorlib.com/theme/zeta/images/gallery_1_large.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_1_large.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:41	5764/5764	---M--	200	added ('OK')	image/jpeg	etag:%221684-567d0117fcd00%22	https://preview.colorlib.com/theme/zeta/images/gallery_1.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_1.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:41	6086/6086	---M--	200	added ('OK')	image/jpeg	etag:%2217c6-567d0119e5180%22	https://preview.colorlib.com/theme/zeta/images/gallery_2.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_2.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:41	231220/231220	---M--	200	added ('OK')	image/jpeg	etag:%2238734-567d011cc1840%22	https://preview.colorlib.com/theme/zeta/images/gallery_2_large.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_2_large.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:42	325632/325632	---M--	200	added ('OK')	image/jpeg	etag:%224f800-567d012092140%22	https://preview.colorlib.com/theme/zeta/images/gallery_3_large.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_3_large.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:42	10547/10547	---M--	200	added ('OK')	image/jpeg	etag:%222933-567d011db5a80%22	https://preview.colorlib.com/theme/zeta/images/gallery_3.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_3.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:42	97331/97331	---M--	200	added ('OK')	image/jpeg	etag:%2217c33-567d012186380%22	https://preview.colorlib.com/theme/zeta/images/gallery_4_large.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_4_large.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:43	6970/6970	---M--	200	added ('OK')	image/jpeg	etag:%221b3a-567d011ea9cc0%22	https://preview.colorlib.com/theme/zeta/images/gallery_4.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_4.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:43	89035/89035	---M--	200	added ('OK')	image/jpeg	etag:%2215bcb-567d012462a40%22	https://preview.colorlib.com/theme/zeta/images/gallery_5_large.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_5_large.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:43	4040/4040	---M--	200	added ('OK')	image/jpeg	etag:%22fc8-567d012186380%22	https://preview.colorlib.com/theme/zeta/images/gallery_5.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_5.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:43	75959/75959	---M--	200	added ('OK')	image/jpeg	etag:%22128b7-567d012927580%22	https://preview.colorlib.com/theme/zeta/images/gallery_6_large.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_6_large.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:44	5793/5793	---M--	200	added ('OK')	image/jpeg	etag:%2216a1-567d01236e800%22	https://preview.colorlib.com/theme/zeta/images/gallery_6.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/gallery_6.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:44	49588/49588	---M--	200	added ('OK')	image/jpeg	etag:%22c1b4-567d013e22700%22	https://preview.colorlib.com/theme/zeta/images/sidebar_slider_1.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/sidebar_slider_1.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:44	49134/49134	---M--	200	added ('OK')	image/jpeg	etag:%22bfee-567d013f16940%22	https://preview.colorlib.com/theme/zeta/images/sidebar_slider_2.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/sidebar_slider_2.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:44	74483/74483	---M--	200	added ('OK')	image/jpeg	etag:%22122f3-567d0140fedc0%22	https://preview.colorlib.com/theme/zeta/images/sidebar_slider_3.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/sidebar_slider_3.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:45	101984/101984	---M--	200	added ('OK')	image/jpeg	etag:%2218e60-567d011708ac0%22	https://preview.colorlib.com/theme/zeta/images/contact_background.jpg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/contact_background.jpg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:45	9780/9780	---M--	200	added ('OK')	image/png	etag:%222634-567d0117fcd00%22	https://preview.colorlib.com/theme/zeta/images/contact_shape.png	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/contact_shape.png	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:45	542/542	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2221e-567d0106d2480%22	https://preview.colorlib.com/theme/zeta/images/arrow_right.svg	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/images/arrow_right.svg	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:46	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215283-567d015bb2cc0-gzip%22	https://preview.colorlib.com/theme/zeta/js/jquery-3.2.1.min.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/js/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:46	81670/81670	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213f06-567d01b463e00-gzip%22	https://preview.colorlib.com/theme/zeta/styles/bootstrap4/popper.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/styles/bootstrap4/popper.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:46	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c584-567d01b093500-gzip%22	https://preview.colorlib.com/theme/zeta/styles/bootstrap4/bootstrap.min.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/styles/bootstrap4/bootstrap.min.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:47	112880/112880	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b8f0-567d0184b4d80-gzip%22	https://preview.colorlib.com/theme/zeta/plugins/greensock/TweenMax.min.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/plugins/greensock/TweenMax.min.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:47	65406/65406	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/zeta/plugins/greensock,_TimelineMax.min.js+scrollmagic,_ScrollMagic.min.js+greensock,_animation.gsap.min.js+greensock,_ScrollToPlugin.min.js+progressbar,_progressbar.min.js.pagespeed.jc.6Va79wdd4Q.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/plugins/greensock,_TimelineMax.min.js+scrollmagic,_ScrollMagic.min.js+greensock,_animation.gsap.min.js+greensock,_ScrollToPlugin.min.js+progressbar,_progressbar.min.js.pagespeed.j	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:47	85368/85368	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d78-567d0198bbcc0-gzip%22	https://preview.colorlib.com/theme/zeta/plugins/OwlCarousel2-2.2.1/owl.carousel.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/plugins/OwlCarousel2-2.2.1/owl.carousel.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:48	60793/60793	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://preview.colorlib.com/theme/zeta/plugins,_js-flickr-gallery-1.24,_js-flickr-gallery.js+plugins,_colorbox,_jquery.colorbox-min.js+plugins,_easing,_easing.js+js,_blog_custom.js.pagespeed.jc.mKC-xnDUVx.js	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/plugins,_js-flickr-gallery-1.24,_js-flickr-gallery.js+plugins,_colorbox,_jquery.colorbox-min.js+plugins,_easing,_easing.js+js,_blog_custom.js.pagespeed.jc.mKC-xnDUVx.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:48	13784/13784	---MCZ	200	added ('OK')	text/javascript	etag:W/2021.8.2	https://static.cloudflareinsights.com/beacon.min.js	C:/Users/HP/Desktop/zeta/static.cloudflareinsights.com/beacon.min.js	(from https://preview.colorlib.com/theme/zeta/blog.html)
19:12:48	95636/95636	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2217594-567d01c776b00%22	https://preview.colorlib.com/theme/zeta/plugins/fontawesome-free-5.0.1/webfonts/fa-brands-400.eot	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/plugins/fontawesome-free-5.0.1/webfonts/fa-brands-400.eot	(from https://preview.colorlib.com/theme/zeta/A.styles,,_bootstrap4,,_bootstrap.min.css+plugins,,_fontawesome-free-5.0.1,,_css,,_fontawesome-all.css+plugins,,_OwlCarousel2-2.2.1,,_owl.carousel.css+plugins,,_OwlCarousel2-2.2.1,,_owl.theme.default.css+plugins,,_OwlCarousel2-2.2.1,,_animate.css+plugins,,_js-flickr-gallery-1.24,,_js-flickr-gallery.css+plugins,,_colorbox,,_colorbox.css,Mcc.cSxapuUV5Z.css.pagespeed.cf.Oe_tASXDKX.css)
19:12:49	95636/95636	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2217594-567d01c776b00%22	https://preview.colorlib.com/theme/zeta/plugins/fontawesome-free-5.0.1/webfonts/fa-brands-400.eot?	C:/Users/HP/Desktop/zeta/preview.colorlib.com/theme/zeta/plugins/fontawesome-free-5.0.1/webfonts/fa-brands-400d41d.eot	(from https://preview.colorlib.com/theme/zeta/A.styles,,_bootstrap4,,_bootstrap.min.css+plugins,,_fontawesome-free-5.0.1,,_css,,_fontawesome-all.css+plugins,,_OwlCarousel2-2.2.1,,_owl.carousel.css+plugins,,_OwlCarousel2-2.2.1,,_owl.theme.default.css+plugins,,_OwlCarousel2-2.2.1,,_animate.css+plugins,,_js-flickr-gallery-1.24,,_js-flickr-gallery.css+plugins,,_colorbox,,_colorbox.css,Mcc.cSxapuUV5Z.css.pagespeed.cf.Oe_tASXDKX.css)
